contractor_id,contractor_type,license_number,business_name,status_bucket
38182,Residential,,,LA
48369,Residential,,,LA
33771,Commercial,,,LA
36019,Commercial,,,LA
29165,Commercial,,,LA
52767,Residential,,,LA
28334,Commercial,,,LA
44856,Residential,,,LA
25108,Commercial,,,LA
52352,Residential,,,LA
10550,Commercial,,,LA
10553,Commercial,,,LA
10555,Commercial,,,LA
25768,Commercial,,,LA
33138,Commercial,,,LA
10559,Commercial,,,LA
35996,Commercial,,,LA
19296,Commercial,,,LA
33560,Residential,,,LA
51227,Residential,,,LA
10585,Commercial,,,LA
33606,Residential,,,LA
33400,Commercial,,,LA
33577,Commercial,,,LA
55129,Residential,,,LA
10624,Commercial,,,LA
10630,Commercial,,,LA
52138,Residential,,,LA
50111,Residential,,,LA
34562,Commercial,,,LA
52384,Residential,,,LA
49043,Residential,,,LA
24285,Commercial,,,LA
50034,Residential,,,LA
10665,Commercial,,,LA
36162,Commercial,,,LA
52782,Residential,,,LA
49900,Residential,,,LA
53322,Residential,,,LA
53741,Residential,,,LA
49576,Residential,,,LA
51690,Residential,,,LA
10690,Commercial,,,LA
30887,Commercial,,,LA
34527,Commercial,,,LA
32070,Commercial,,,LA
55025,Residential,,,LA
43604,Residential,,,LA
30641,Commercial,,,LA
10709,Commercial,,,LA
23801,Commercial,,,LA
31156,Commercial,,,LA
10723,Commercial,,,LA
36059,Commercial,,,LA
32936,Commercial,,,LA
54493,Residential,,,LA
43195,Residential,,,LA
22391,Commercial,,,LA
11102,Commercial,,,LA
26871,Commercial,,,LA
35163,Commercial,,,LA
34027,Residential,,,LA
34046,Residential,,,LA
28916,Commercial,,,LA
21193,Commercial,,,LA
43933,Residential,,,LA
51045,Residential,,,LA
50746,Residential,,,LA
54100,Residential,,,LA
47490,Residential,,,LA
49740,Residential,,,LA
34641,Commercial,,,LA
49826,Residential,,,LA
35753,Commercial,,,LA
26635,Commercial,,,LA
31198,Commercial,,,LA
24639,Commercial,,,LA
24394,Commercial,,,LA
11204,Commercial,,,LA
49130,Residential,,,LA
11207,Commercial,,,LA
11212,Commercial,,,LA
11216,Commercial,,,LA
49603,Residential,,,LA
25482,Commercial,,,LA
34215,Commercial,,,LA
30320,Commercial,,,LA
11228,Commercial,,,LA
48218,Residential,,,LA
11263,Commercial,,,LA
28954,Commercial,,,LA
11279,Commercial,,,LA
34813,Commercial,,,LA
11289,Commercial,,,LA
25527,Commercial,,,LA
11295,Commercial,,,LA
51701,Residential,,,LA
49782,Residential,,,LA
34334,Residential,,,LA
33974,Residential,,,LA
11545,Commercial,,,LA
48298,Residential,,,LA
11556,Commercial,,,LA
47526,Residential,,,LA
33096,Commercial,,,LA
49874,Residential,,,LA
23758,Commercial,,,LA
51898,Residential,,,LA
53447,Residential,,,LA
41875,Residential,,,LA
23107,Commercial,,,LA
31456,Commercial,,,LA
43229,Residential,,,LA
43129,Residential,,,LA
48948,Residential,,,LA
35045,Commercial,,,LA
35067,Commercial,,,LA
26736,Commercial,,,LA
11597,Commercial,,,LA
11599,Commercial,,,LA
50960,Residential,,,LA
54067,Residential,,,LA
55058,Residential,,,LA
52121,Residential,,,LA
51041,Residential,,,LA
52310,Residential,,,LA
32050,Commercial,,,LA
50525,Residential,,,LA
34381,Residential,,,LA
11619,Commercial,,,LA
34962,Commercial,,,LA
11622,Commercial,,,LA
43577,Residential,,,LA
39449,Residential,,,LA
30671,Commercial,,,LA
50537,Residential,,,LA
34917,Commercial,,,LA
28610,Commercial,,,LA
34444,Commercial,,,LA
31260,Commercial,,,LA
35077,Commercial,,,LA
36541,Commercial,,,LA
36482,Commercial,,,LA
33094,Commercial,,,LA
51023,Residential,,,LA
51097,Residential,,,LA
36040,Residential,,,LA
21378,Commercial,,,LA
36271,Commercial,,,LA
35854,Commercial,,,LA
21132,Commercial,,,LA
35850,Commercial,,,LA
15358,Commercial,,,LA
11636,Commercial,,,LA
52326,Residential,,,LA
28259,Commercial,,,LA
32093,Commercial,,,LA
42376,Residential,,,LA
51962,Residential,,,LA
52003,Residential,,,LA
42794,Residential,,,LA
34388,Commercial,,,LA
41364,Residential,,,LA
54713,Residential,,,LA
51257,Residential,,,LA
51190,Residential,,,LA
37541,Residential,,,LA
38104,Residential,,,LA
51149,Residential,,,LA
11638,Commercial,,,LA
16914,Commercial,,,LA
42624,Residential,,,LA
50067,Residential,,,LA
36352,Residential,,,LA
33160,Commercial,,,LA
11641,Commercial,,,LA
34402,Residential,,,LA
25369,Commercial,,,LA
33902,Commercial,,,LA
11649,Commercial,,,LA
11653,Commercial,,,LA
23064,Commercial,,,LA
50871,Residential,,,LA
54013,Residential,,,LA
34444,Residential,,,LA
34460,Residential,,,LA
34462,Residential,,,LA
41686,Residential,,,LA
42793,Residential,,,LA
36083,Commercial,,,LA
19698,Commercial,,,LA
19699,Commercial,,,LA
34469,Residential,,,LA
51456,Residential,,,LA
30809,Commercial,,,LA
11669,Commercial,,,LA
42923,Residential,,,LA
55078,Residential,,,LA
52746,Residential,,,LA
35268,Commercial,,,LA
34544,Commercial,,,LA
28965,Commercial,,,LA
11673,Commercial,,,LA
35624,Commercial,,,LA
11677,Commercial,,,LA
37111,Residential,,,LA
34483,Residential,,,LA
18942,Commercial,,,LA
34343,Commercial,,,LA
50800,Residential,,,LA
22293,Commercial,,,LA
21331,Commercial,,,LA
31649,Commercial,,,LA
11686,Commercial,,,LA
